 l  u  v  type  shape  cells  cmssw_type  cmssw_shape  cmssw_cells  <nHitsTotal>  corrFactorTotal  <nHistsToA>  corrFactorToA  <nHitsBXM1>  corrFactorBXM1  <n32bWords>
  2   8   4   1   F 192   1   F 192  17.933800   1.000000   4.708000   1.000000   5.561600   1.000000  30.078000
  2   8   5   1   F 192   1   F 192  17.115000   1.000000   4.544200   1.000000   5.191800   1.000000  29.458600
  2   8   6   1   F 192   1   F 192  15.328400   1.000000   4.302200   1.000000   4.334200   1.000000  28.104600
  2   8   7   1   F 192   1   F 192  12.498200   1.000000   3.661000   1.000000   3.019200   1.000000  25.587400
  2   8   8   1   F 192   1   F 192   9.351600   1.000000   2.871800   1.000000   2.008800   1.000000  22.388200
  2   8   9   1   a 100   1   F 192   3.965000   0.562825   1.205200   0.673415   0.921000   0.700326   9.597800
  2   9   1   1   a 100   1   F 192   3.985200   0.560825   1.200800   0.672385   0.917000   0.707743   9.600000
  2   9   2   1   F 192   1   F 192   8.825200   1.000000   2.662800   1.000000   1.999600   1.000000  21.792000
  2   9   3   1   F 192   1   F 192   9.762200   1.000000   2.997800   1.000000   2.061200   1.000000  22.850400
  2   9   4   1   L 226   1   F 192  10.432400   1.175607   3.193000   1.182900   2.206600   1.166772  27.198800
  2   9   5   1   L 226   1   F 192  10.581800   1.175736   3.207400   1.181705   2.226400   1.169691  27.325400
  2   9   6   1   L 226   1   F 192   9.895200   1.176651   2.990200   1.184871   2.101600   1.168824  26.509600
  2   9   7   1   F 192   1   F 192   8.619800   1.000000   2.616600   1.000000   1.913200   1.000000  21.526800
  2   9   8   1   a 100   1   F 192   4.012800   0.562350   1.232000   0.668994   0.905400   0.701347   9.638200
  3   1   2   0   d 160   0   d 157 103.759800   1.019217  21.711400   1.010842  52.522000   1.019158  91.959200
  3   1   3   0   F 432   0   F 432 225.804200   1.000000  33.419400   1.000000  86.335800   1.000000 180.155400
  3   1   4   0   F 432   0   F 432 119.651600   1.000000  12.132200   1.000000  29.723400   1.000000 104.331200
  3   1   5   0   F 432   0   F 432  67.268800   1.000000   5.735600   1.000000  13.488200   1.000000  71.765800
  3   1   6   1   F 192   1   F 192  41.071400   1.000000   7.105600   1.000000  13.405800   1.000000  44.528800
  3   1   7   1   F 192   1   F 192  24.384800   1.000000   6.383200   1.000000   7.854200   1.000000  34.622000
  3   1   8   1   F 192   1   F 192  14.879600   1.000000   4.203000   1.000000   3.925400   1.000000  27.509800
  3   1   9   1   b 164   1   F 192   7.414000   0.857162   2.248600   0.898870   1.630400   0.924313  17.298200
  3   2   0   0   g 307   0   g 294 194.758000   1.044221  37.801400   1.044559  94.214400   1.044197 168.607600
  3   2   1   0   d 160   0   d 157 103.753600   1.019221  21.443600   1.010064  52.686600   1.019048  91.893400
  3   2   2   0   g 307   0   g 293 191.779800   1.047854  37.893400   1.047407  93.658000   1.047622 167.382000
  3   2   3   0   F 432   0   F 432 225.341400   1.000000  33.338800   1.000000  85.961000   1.000000 179.812800
  3   2   4   0   F 432   0   F 432 130.572600   1.000000  13.718800   1.000000  33.769200   1.000000 111.602800
  3   2   5   0   F 432   0   F 432  76.072400   1.000000   6.693600   1.000000  15.727400   1.000000  76.998400
  3   2   6   1   F 192   1   F 192  46.493000   1.000000   8.084400   1.000000  15.481600   1.000000  48.221400
  3   2   7   1   F 192   1   F 192  28.289400   1.000000   7.485200   1.000000   9.211400   1.000000  37.409400
  3   2   8   1   F 192   1   F 192  18.023800   1.000000   4.743200   1.000000   5.527600   1.000000  30.027400
  3   2   9   1   L 226   1   F 192  10.264400   1.176649   3.095800   1.177660   2.211800   1.168189  26.792000
  3   3   0   0   F 432   0   F 432 178.824800   1.000000  22.046000   1.000000  56.809600   1.000000 144.942800
  3   3   1   0   F 432   0   F 432 225.442800   1.000000  33.206200   1.000000  86.533800   1.000000 179.957800
  3   3   2   0   F 432   0   F 432 225.657400   1.000000  33.104600   1.000000  86.518600   1.000000 180.005200
  3   3   3   0   F 432   0   F 432 179.051600   1.000000  22.026000   1.000000  56.775000   1.000000 145.080600
  3   3   4   0   F 432   0   F 432 119.646800   1.000000  12.281400   1.000000  29.550000   1.000000 104.307600
  3   3   5   0   F 432   0   F 432  76.328200   1.000000   6.724200   1.000000  15.728000   1.000000  77.191200
  3   3   6   1   F 192   1   F 192  48.910400   1.000000   8.582400   1.000000  16.209400   1.000000  49.828600
  3   3   7   1   F 192   1   F 192  30.479200   1.000000   8.064200   1.000000  10.172200   1.000000  38.980000
  3   3   8   1   F 192   1   F 192  19.940400   1.000000   5.205800   1.000000   6.321400   1.000000  31.460000
  3   3   9   1   F 192   1   F 192  11.436800   1.000000   3.432800   1.000000   2.503600   1.000000  24.358000
  3   3  10   1   a 100   1   a 155   4.001600   0.663335   1.187600   0.707982   0.873600   0.725504  10.177800
  3   4   0   0   F 432   0   F 432  93.722600   1.000000   8.640200   1.000000  20.820800   1.000000  87.650600
  3   4   1   0   F 432   0   F 432 119.032000   1.000000  12.006400   1.000000  29.489400   1.000000 103.863200
  3   4   2   0   F 432   0   F 432 130.715600   1.000000  13.696000   1.000000  33.992800   1.000000 111.717400
