 l  u  v  type  shape  cells  cmssw_type  cmssw_shape  cmssw_cells  <nHitsTotal>  corrFactorTotal  <nHistsToA>  corrFactorToA  <nHitsBXM1>  corrFactorBXM1  <n32bWords>
  3   1   8   1   F 192   1   F 192  14.045000   1.000000   4.279000   1.000000   3.203000   1.000000  26.792400
  3   1   9   1   b 164   1   F 164   7.624600   1.000000   2.345800   1.000000   1.665800   1.000000  18.761400
  3   2   0   0   g 307   0   a 288 201.637000   1.066015  39.508800   1.066254 102.522000   1.065966 177.776800
  3   2   1   0   d 160   0   g 162 122.963000   0.987214  26.730200   0.997883  68.186000   0.985466 104.739400
  3   2   2   0   g 307   0   a 300 212.701400   1.023322  42.507600   1.023892 109.875000   1.023297 180.387800
  3   2   3   0   F 432   0   F 432 219.319600   1.000000  31.542200   1.000000  81.846400   1.000000 175.146400
  3   2   4   0   F 432   0   F 432 127.306600   1.000000  13.439600   1.000000  32.719200   1.000000 109.560600
  3   2   5   0   F 432   0   F 432  74.565600   1.000000   6.610800   1.000000  15.320000   1.000000  76.177400
  3   2   6   1   F 192   1   F 192  44.807000   1.000000   7.839400   1.000000  15.084400   1.000000  47.135800
  3   2   7   1   F 192   1   F 192  28.188800   1.000000   4.745000   1.000000   9.107800   1.000000  35.985000
  3   2   8   1   F 192   1   F 192  17.066400   1.000000   4.824600   1.000000   4.632600   1.000000  29.284400
  3   2   9   1   L 226   1   F 192  10.372200   1.176048   3.198200   1.178600   2.199200   1.167515  26.898400
  3   3   0   0   F 432   0   F 432 173.761800   1.000000  21.100800   1.000000  53.908600   1.000000 141.322600
  3   3   1   0   F 432   0   F 432 220.238000   1.000000  31.946400   1.000000  82.304800   1.000000 175.876800
  3   3   2   0   F 432   0   F 432 220.207000   1.000000  32.026400   1.000000  81.870200   1.000000 175.838000
  3   3   3   0   F 432   0   F 432 173.798800   1.000000  21.078600   1.000000  53.801600   1.000000 141.297600
  3   3   4   0   F 432   0   F 432 117.112200   1.000000  11.832400   1.000000  28.847800   1.000000 102.684000
  3   3   5   0   F 432   0   F 432  74.475200   1.000000   6.586400   1.000000  15.375200   1.000000  76.131200
  3   3   6   1   F 192   1   F 192  47.391800   1.000000   8.527200   1.000000  15.896400   1.000000  48.944400
  3   3   7   1   F 192   1   F 192  30.646600   1.000000   5.192600   1.000000  10.053600   1.000000  37.641600
  3   3   8   1   F 192   1   F 192  19.685800   1.000000   3.327000   1.000000   6.196600   1.000000  30.364000
  3   3   9   1   F 192   1   F 192  11.576400   1.000000   3.591800   1.000000   2.404800   1.000000  24.477400
  3   3  10   1   a 100   1   a  92   3.879800   1.064436   1.218800   1.014440   0.874600   1.006174  11.682200
  3   4   0   0   F 432   0   F 432  91.832400   1.000000   8.532200   1.000000  20.220200   1.000000  86.538200
  3   4   1   0   F 432   0   F 432 117.296400   1.000000  11.989400   1.000000  28.977400   1.000000 102.828400
  3   4   2   0   F 432   0   F 432 127.850800   1.000000  13.503400   1.000000  32.742000   1.000000 109.869400
  3   4   3   0   F 432   0   F 432 117.482800   1.000000  12.052400   1.000000  28.851200   1.000000 102.906200
  3   4   4   0   F 432   0   F 432  91.626400   1.000000   8.589200   1.000000  20.392400   1.000000  86.479000
  3   4   5   0   F 432   1   F 192  60.652000   1.093260  12.542800   0.463102  18.225600   0.780814  72.718000
  3   4   6   1   F 192   1   F 192  44.805800   1.000000   7.891000   1.000000  14.951800   1.000000  47.134800
  3   4   7   1   F 192   1   F 192  30.631800   1.000000   5.189200   1.000000  10.019400   1.000000  37.617600
  3   4   8   1   F 192   1   F 192  20.307200   1.000000   3.418200   1.000000   6.416800   1.000000  30.759600
  3   4   9   1   F 192   1   F 192  12.355000   1.000000   3.833200   1.000000   2.574200   1.000000  25.216200
  3   4  10   1   b 164   1   d 164   6.874000   1.000000   2.127600   1.000000   1.544800   1.000000  17.925000
  3   5   0   1   F 192   1   F 192  51.291800   1.000000   9.307400   1.000000  17.147400   1.000000  51.565400
  3   5   1   0   F 432   1   F 192  60.707600   1.093303  12.447600   0.463190  18.356200   0.781273  72.667400
  3   5   2   0   F 432   0   F 432  75.015400   1.000000   6.653600   1.000000  15.488600   1.000000  76.460200
  3   5   3   0   F 432   0   F 432  74.421800   1.000000   6.539000   1.000000  15.448600   1.000000  76.117200
  3   5   4   1   F 192   1   F 192  60.741800   1.000000  12.440800   1.000000  18.395400   1.000000  57.983600
  3   5   5   1   F 192   1   F 192  51.268800   1.000000   9.358000   1.000000  16.873400   1.000000  51.513400
  3   5   6   1   F 192   1   F 192  39.357400   1.000000   6.921600   1.000000  13.012800   1.000000  43.475200
  3   5   7   1   F 192   1   F 192  28.185200   1.000000   4.754600   1.000000   9.124600   1.000000  36.011800
  3   5   8   1   F 192   1   F 192  19.643000   1.000000   3.325400   1.000000   6.126600   1.000000  30.312400
  3   5   9   1   F 192   1   F 192  12.465800   1.000000   3.808200   1.000000   2.669000   1.000000  25.313400
  3   5  10   1   d 100   1   d 100   4.904800   1.000000   1.545600   1.000000   1.089200   1.000000  12.708200
  3   6   0   1   F 192   1   F 192  31.327800   1.000000   5.282400   1.000000  10.274800   1.000000  38.071400
  3   6   1   1   F 192   1   F 192  39.271400   1.000000   6.772200   1.000000  13.053600   1.000000  43.372600
  3   6   2   1   F 192   1   F 192  44.833000   1.000000   7.966800   1.000000  14.970600   1.000000  47.161000
  3   6   3   1   F 192   1   F 192  47.302400   1.000000   8.449400   1.000000  15.924800   1.000000  48.875400
  3   6   4   1   F 192   1   F 192  44.916400   1.000000   7.912200   1.000000  14.960400   1.000000  47.173400
  3   6   5   1   F 192   1   F 192  39.265400   1.000000   6.905200   1.000000  12.931600   1.000000  43.394000
  3   6   6   1   F 192   1   F 192  31.662400   1.000000   5.336400   1.000000  10.323400   1.000000  38.266200
  3   6   7   1   F 192   1   F 192  24.587600   1.000000   4.211200   1.000000   7.877600   1.000000  33.652400
  3   6   8   1   F 192   1   F 192  17.140800   1.000000   4.848000   1.000000   4.716200   1.000000  29.396200
  3   6   9   1   F 192   1   F 192  11.499000   1.000000   3.537600   1.000000   2.401600   1.000000  24.428000
  3   6  10   1   b 164   1   d 164   6.863600   1.000000   2.149600   1.000000   1.555600   1.000000  17.922200
  3   7   0   1   F 192   1   F 192  19.588600   1.000000   3.285400   1.000000   6.155200   1.000000  30.282200
  3   7   1   1   F 192   1   F 192  24.587000   1.000000   4.087600   1.000000   7.926000   1.000000  33.628800
  3   7   2   1   F 192   1   F 192  28.230800   1.000000   4.741200   1.000000   9.085800   1.000000  35.990000
  3   7   3   1   F 192   1   F 192  30.752200   1.000000   5.188600   1.000000  10.055000   1.000000  37.682800
  3   7   4   1   F 192   1   F 192  30.631200   1.000000   5.240200   1.000000   9.986000   1.000000  37.633800
